campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,clicks,ctr,cpc,cpm,frequency,inline_link_clicks,actions.link_click,actions.page_engagement,actions.post_engagement,actions.video_view,publisher_platform,platform_position,actions.onsite_conversion.messaging_block,actions.onsite_conversion.post_unlike,actions.post_interaction_gross,actions.post_interaction_net,actions.post,actions.onsite_conversion.post_save,actions.onsite_conversion.post_net_save,actions.onsite_conversion.post_net_like,actions.post_reaction,actions.omni_search,actions.offsite_conversion.fb_pixel_search,actions.landing_page_view,actions.add_to_cart,actions.omni_landing_page_view,actions.onsite_web_view_content,actions.onsite_web_add_to_cart,actions.onsite_web_app_view_content,actions.view_content,actions.onsite_web_app_add_to_cart,actions.offsite_search_add_meta_leads,actions.omni_add_to_cart,actions.offsite_content_view_add_meta_leads,actions.onsite_conversion.messaging_conversation_started_7d,actions.search,actions.omni_view_content,actions.offsite_conversion.fb_pixel_view_content,actions.offsite_conversion.fb_pixel_add_to_cart,action_values.onsite_web_app_add_to_cart,action_values.offsite_conversion.fb_pixel_view_content,action_values.omni_view_content,action_values.add_to_cart,action_values.offsite_conversion.fb_pixel_add_to_cart,action_values.view_content,action_values.onsite_web_view_content,action_values.onsite_web_app_view_content,action_values.omni_add_to_cart,action_values.onsite_web_add_to_cart,actions.onsite_conversion.post_unsave,actions.web_in_store_purchase,actions.omni_purchase,actions.omni_initiated_checkout,actions.purchase,actions.offsite_conversion.fb_pixel_add_payment_info,actions.onsite_web_app_purchase,actions.offsite_conversion.fb_pixel_purchase,actions.web_app_in_store_purchase,actions.onsite_web_initiate_checkout,actions.onsite_web_purchase,actions.add_payment_info,actions.offsite_conversion.fb_pixel_initiate_checkout,actions.initiate_checkout,action_values.onsite_web_app_purchase,action_values.onsite_web_initiate_checkout,action_values.add_payment_info,action_values.omni_initiated_checkout,action_values.web_app_in_store_purchase,action_values.onsite_web_purchase,action_values.purchase,action_values.offsite_conversion.fb_pixel_initiate_checkout,action_values.offsite_conversion.fb_pixel_add_payment_info,action_values.offsite_conversion.fb_pixel_purchase,action_values.initiate_checkout,action_values.omni_purchase,action_values.web_in_store_purchase,actions.comment,actions.onsite_conversion.post_net_comment,actions.onsite_conversion.total_messaging_connection,actions.like,actions.onsite_conversion.messaging_user_depth_2_message_send,actions.onsite_conversion.messaging_first_reply,actions.onsite_conversion.messaging_user_depth_3_message_send,actions.onsite_conversion.messaging_user_depth_5_message_send,actions.onsite_conversion.messaging_conversation_replied_7d
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.17,1,1,0,0,,170,1,0,,,,,facebook,facebook_profile_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,14.09,67,64,2,2.985075,7.045,210.298507,1.046875,3,3,3,3,,facebook,facebook_reels,,,,,,,,,,,,1,,1,1,,1,1,,,,1,,,1,1,,,700,700,,,700,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.14,3,3,0,0,,46.666667,1,0,,,,,facebook,facebook_reels_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,1.09,5,5,0,0,,218,1,0,,,,,facebook,facebook_stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,318.08,980,749,16,1.632653,19.88,324.571429,1.308411,11,11,11,11,,facebook,feed,,,,,,,,,,,,8,,8,20,,20,20,,,,20,,,20,20,,,27895,27895,,,27895,27895,27895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.31,11,10,0,0,,28.181818,1.1,0,,,,,facebook,instream_video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0,1,1,0,0,,0,1,0,,,,,facebook,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.38,4,3,0,0,,95,1.333333,0,,,,,facebook,right_hand_column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,2.18,22,21,0,0,,99.090909,1.047619,0,,,,,facebook,search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,595.65,2710,2181,8,0.295203,74.45625,219.797048,1.242549,5,5,17,17,7,instagram,feed,,,5,5,,2,2,3,3,2,2,5,8,5,23,8,23,23,8,2,8,23,,2,23,23,8,10157,22698,22698,10157,10157,22698,22698,22698,10157,10157,,1,1,7,1,1,1,1,1,7,1,1,7,7,800,6483.4,800,6483.4,0.08,800,800,6483.4,800,800,6483.4,800,800,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.03,1,1,0,0,,30,1,0,,,,,instagram,instagram_explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.12,7,7,0,0,,17.142857,1,0,,,,,instagram,instagram_explore_grid_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,215.26,1299,1203,9,0.692841,23.917778,165.712086,1.079801,6,6,10,10,3,instagram,instagram_reels,,,1,1,,,,1,1,,,3,,3,4,,4,4,,,,4,,,4,4,,,7500,7500,,,7500,7500,7500,,,,,,2,,,,,,2,,,2,2,,7700,,7700,,,,7700,,,7700,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,277.33,991,846,10,1.009082,27.733,279.848638,1.171395,7,7,7,7,,instagram,instagram_stories,,,,,,,,,,,,4,,4,15,,15,15,,,,15,,,15,15,,,20169,20169,,,20169,20169,20169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242255006070627,Retargeting_Ad_15Feb,2026-04-13,2026-04-19,0.32,11,11,0,0,,29.090909,1,0,,,,,threads,threads_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120242298942200627,It's Complicated (Founder Led) 16/02/26,2026-04-13,2026-04-19,26.300414,173,75,20,11.560694,1.315021,152.025517,2.306667,21,21,154,154,133,audience_network,an_classic,,,,,,,,,,,,3,,3,4,,4,4,,,,4,,,4,4,,,8150,8150,,,8150,8150,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
